lemma,freq
alène,0.34
alèse,0.61
alèze,0.07
aléa,1.01
aléatoire,2.16
aléatoirement,0.09
aléoutien,0.02
aléser,0.14
am stram gram,0.14
amabilité,5.34
amadou,1.76
amadouer,3.58
amaigri,2.16
amaigrissant,0.14
amaigrissement,0.54
amalgame,2.03
amalgamer,1.22
aman,0.14
amande,8.18
amandier,2.23
amandine,0.07
amanite,0.27
amant,69.59
amante,6.76
amarante,0.61
amaro,2.02
amarrage,0.61
amarre,4.66
amarrer,6.69
amaryllis,1.22
amas,9.32
amasser,8.24
amateur,16.15
amateurisme,0.34
amaurose,0.07
amazone,2.23
amazonien,0.36
ambages,0.88
ambassade,15.34
ambassadeur,33.72
ambiance,12.37
ambiant,4.05
ambidextre,0.32
ambigu,8.99
ambiguïté,3.04
ambitieux,6.08
ambition,30.34
ambitionner,1.49
ambivalence,0.41
ambivalent,0.20
amble,0.47
ambler,0.05
amboine,0.07
ambon,0.07
ambre,4.39
ambrer,0.54
ambroisie,0.51
ambré,2.16
ambulance,27.55
ambulancier,1.69
ambulant,5.41
ambulatoire,0.14
amen,19.70
amende,9.37
amendement,3.75
amender,1.49
amener,190.32
amenuisement,0.14
amenuiser,4.19
amenée,0.07
amer,30.07
amerlo,0.47
amerloque,1.76
amerrir,0.13
amerrissage,0.16
amertume,19.39
ameublement,0.95
ameuter,3.51
amharique,0.27
ami,747.98
amiable,1.82
amiante,0.82
amibe,0.40
amical,23.04
amicale,1.62
amicalement,4.12
amidon,0.74
amidonner,1.89
amignoter,0.07
amigo,6.91
aminci,0.47
amincir,2.30
amincissant,0.14
amincissement,0.14
amine,0.01
aminophylline,0.01
aminé,0.36
amiral,13.51
amirauté,6.96
amish,0.14
amitié,77.77
ammoniac,0.28
ammoniaque,0.40
ammoniaqué,0.27
ammonite,0.40
ammonitrate,0.14
ammonium,0.36
amniocentèse,0.38
amnios,0.04
amniotique,0.14
amnistiable,0.07
amnistie,2.93
amnistier,0.52
amnistié,0.07
amnésie,3.74
amnésique,2.48
amocher,3.80
amoindrir,2.36
amoindrissement,0.07
amok,0.07
amollir,5.41
amollissant,0.14
amollissement,0.14
amonceler,4.86
amoncellement,6.08
amont,3.85
amontillado,0.29
amoral,0.68
amoraliste,0.05
amoralité,0.07
amorce,4.59
amorcer,11.89
amoroso,0.45
amorphe,1.42
amorti,1.55
amortir,4.93
amortissement,0.42
amortisseur,0.85
amorçage,0.09
amorçoir,0.07
amour,458.27
amour-goût,0.07
amour-passion,0.41
amour-propre,6.89
amouracher,1.15
amourer,0.07
amourette,1.15
amoureusement,2.50
amoureux,107.79
amovible,0.68
amphi,1.08
amphibie,0.71
amphibien,0.20
amphigouri,0.27
amphigourique,0.20
amphithéâtre,2.57
amphitrite,0.07
amphitryon,0.13
amphore,1.35
amphétamine,1.13
ample,11.89
amplement,1.82
ampleur,7.57
ampli,1.15
ampli-tuner,0.01
amplificateur,0.29
amplification,0.54
amplifier,8.65
amplitude,1.76
ampoule,19.12
ampoulé,0.95
amputation,1.62
amputer,3.62
amputé,1.49
ampère,0.26
ampèremètre,0.02
ampélopsis,0.07
ampérage,0.01
amulette,3.08
amure,0.27
amusant,29.36
amuse-bouche,0.05
amuse-gueule,1.23
amusement,7.30
amuser,141.41
amusette,1.15
amuseur,0.34
amygdale,1.50
amygdalectomie,0.14
amygdalien,0.02
amygdalite,0.23
amylase,0.09
amyle,0.27
amylique,0.02
amyotrophique,0.07
amène,1.15
amèrement,5.20
amé,0.01
améliorable,0.07
améliorateur,0.04
amélioration,2.87
améliorer,22.34
amélioré,0.61
aménagement,2.77
aménager,12.57
aménité,1.96
aménorrhée,0.28
américain,74.73
américanisation,0.07
américaniser,0.14
américanisme,0.14
américanité,0.07
américano,0.27
américano-britannique,0.01
américano-russe,0.01
américano-soviétique,0.03
américanophile,0.27
américium,0.03
amérindien,0.14
amérique,1.08
améthyste,0.81
an,866.58
ana,4.91
anabaptiste,0.41
anabase,0.14
anabolisant,0.09
anachorète,0.47
anachronique,2.36
anachroniquement,0.07
anachronisme,0.88
anacoluthe,0.10
anaconda,0.49
anadyomène,0.14
anaglyphe,0.04
anagramme,0.60
anal,2.18
analgésie,0.01
analgésique,0.64
analogie,2.03
analogique,0.35
analogue,6.82
analphabète,1.22
analphabétisme,0.20
analysant,0.20
analyse,23.26
analyser,15.40
analyseur,0.45
analyste,2.44
analysé,0.14
analytique,0.38
analytiquement,0.07
anamnèse,0.07
anamorphose,0.27
ananas,3.51
anaphase,0.03
anaphoriquement,0.14
anaphylactique,0.52
anaphylaxie,0.06
anar,0.74
anarchie,4.80
anarchique,1.15
anarchiquement,0.14
anarchisant,0.01
anarchisme,0.71
anarchiste,4.46
anarcho-syndicalisme,0.07
anarcho-syndicaliste,0.14
anas,0.07
anastomose,0.08
anathème,1.12
anatomie,4.80
anatomique,1.69
anatomiquement,0.20
anatomiser,0.07
anatomiste,0.34
anatomophysiologique,0.07
anaérobie,0.05
ancestral,5.41
ancestralement,0.14
ancestralité,0.07
anch'io son pittore,0.07
anche,0.27
anchilops,0.07
anchois,2.57
anchoïade,0.07
ancien,154.86
anciennement,1.01
ancienneté,1.55
ancillaire,0.88
ancolie,0.07
ancrage,0.41
ancre,5.81
ancrer,5.54
ancré,1.08
ancêtre,22.23
anda,1.13
andain,0.20
andalou,2.23
andante,0.47
andouille,6.94
andouiller,1.28
andouillette,0.74
andrinople,0.20
androgyne,0.54
androgynie,0.07
androgynique,0.07
andropause,0.23
androïde,0.82
anecdote,12.91
anecdotier,0.01
anecdotique,0.81
anecdotiquement,0.14
anesthésiant,0.44
anesthésie,3.74
anesthésier,1.55
anesthésique,0.47
anesthésiste,1.07
aneth,0.61
anfractuosité,1.28
ange,69.27
angelot,1.49
angevin,0.10
angine,2.57
angiocholite,0.01
angiographie,0.32
angiome,0.13
angioplastie,0.19
anglais,79.53
angle,57.64
angler,0.21
angleterre,0.47
anglican,0.61
angliche,0.44
anglicisation,0.07
angliciser,0.11
anglo-albanais,0.07
anglo-allemand,0.01
anglo-américain,0.20
anglo-arabe,0.27
anglo-chinois,0.01
anglo-français,0.14
anglo-hellénique,0.07
anglo-irlandais,0.27
anglo-normand,0.34
anglo-russe,0.02
anglo-saxon,4.12
anglo-soviétique,0.07
anglo-égyptien,0.41
anglo-éthiopien,0.07
anglomane,0.14
anglomanie,0.07
anglophile,0.20
anglophobe,0.01
anglophobie,0.07
anglophone,0.14
angoissant,4.19
angoisse,68.99
angoisser,5.88
angoissé,5.27
angolais,0.20
angon,0.41
angor,0.01
angora,0.61
angström,0.20
anguille,4.32
anguis,0.07
angulaire,0.47
anguleux,3.24
