word,gender,freq
aides-soignantes,f,0.40
aides-soignants,m,0.40
aiglefin,m,0.07
aiglon,m,0.95
aiglons,m,0.95
aigre,m,1.22
aigres,m,1.22
aigrette,f,2.64
aigrettes,f,2.64
aigreur,f,4.32
aigreurs,f,4.32
aigri,m,0.54
aigrie,f,0.54
aigris,m,0.54
aigu,m,3.18
aiguade,f,0.14
aiguail,m,0.27
aigue-marine,f,0.81
aigues-marines,f,0.81
aiguillage,m,2.16
aiguillages,m,2.16
aiguillat,m,0.02
aiguille,f,34.19
aiguilles,f,34.19
aiguillettes,f,0.20
aiguilleur,m,0.41
aiguilleurs,m,0.41
aiguillon,m,2.50
aiguillons,m,2.50
aiguillée,f,0.27
aiguillées,f,0.27
aiguiseur,m,0.04
aiguisoir,m,0.07
aiguière,f,0.27
aigus,m,3.18
ail,m,9.14
aile,f,60.47
aileron,m,1.49
ailerons,m,1.49
ailes,f,60.47
ailette,f,0.54
ailettes,f,0.54
ailier,m,1.40
ailiers,m,1.40
aimant,m,2.97
aimantation,f,0.47
aimants,m,2.97
aimeuse,f,0.07
aine,f,2.77
aines,f,2.77
air,m,690.81
air bag,m,0.02
airain,m,1.69
airbag,m,1.11
airbags,m,1.11
airbus,m,0.01
aire,f,5.54
airedale,m,0.01
airelle,f,1.12
airelles,f,1.12
aires,f,5.54
airs,m,690.81
ais,m,10.14
aisance,f,15.41
aisances,f,15.41
aise,f,52.64
aises,f,52.64
aisseau,m,0.01
aisselle,f,8.99
aisselles,f,8.99
aixois,m,0.14
ajaccienne,f,0.07
ajax,m,0.07
ajonc,m,1.69
ajoncs,m,1.69
ajournement,m,0.47
ajournements,m,0.47
ajours,m,0.14
ajout,m,0.94
ajoute,f,0.27
ajoutes,f,0.27
ajouts,m,0.94
ajouté,m,0.41
ajoutés,m,0.41
ajustage,m,0.14
ajustement,m,0.88
ajustements,m,0.88
ajusteur,m,0.62
ajusteurs,m,0.62
ajusture,f,0.07
ajutage,m,0.10
akkadien,m,0.03
ako,m,0.08
akvavit,m,0.20
alabandines,f,0.07
alacrité,f,0.61
alaise,f,0.07
alambic,m,1.22
alambics,m,1.22
alanguissement,m,0.47
alanguissements,m,0.47
alarme,f,19.29
alarmes,f,19.29
alarmisme,m,0.07
alba,f,0.20
albacore,m,0.09
albanais,m,1.15
albanaise,f,1.15
albatros,m,2.01
albe,m,0.01
albertine,f,0.07
albigeois,m,0.14
albinisme,m,0.02
albugo,m,0.07
album,m,18.38
albumine,f,0.19
albumines,f,0.19
albums,m,18.38
albâtre,m,3.11
albâtres,m,3.11
albène,m,0.07
alcade,m,0.30
alcalde,m,0.05
alcali,m,0.27
alcalinité,f,0.03
alcalis,m,0.27
alcalose,f,0.02
alcaloïde,m,0.16
alcatraz,m,1.09
alcazar,m,1.69
alchimie,f,1.96
alchimies,f,1.96
alcibiade,m,0.01
alcool,m,42.84
alcoolisme,m,1.84
alcools,m,42.84
alcoolémie,f,0.58
alcoomètre,m,0.07
alcootest,m,0.31
alcoran,m,0.07
alcyon,m,0.74
alcyons,m,0.74
alcées,f,0.07
alcôve,f,4.59
alcôves,f,4.59
alde,m,0.22
alderman,m,0.14
aldol,m,0.05
aldéhyde,m,0.07
ale,f,2.10
alentours,m,9.12
aleph,m,0.41
alerte,f,13.45
alertes,f,13.45
alevin,m,0.68
alevins,m,0.68
alexandra,m,0.51
alexandrin,m,1.89
alexandrins,m,1.89
alexie,f,0.01
alexithymie,m,0.03
alezan,m,1.35
alezans,m,1.35
alfa,m,1.01
alfas,m,1.01
alfénides,m,0.07
algarade,f,1.96
algarades,f,1.96
algie,f,0.27
algonquin,m,0.54
algonquines,f,0.54
algorithme,m,0.72
algorithmes,m,0.72
algue,f,12.03
algues,f,12.03
algèbre,f,2.03
algérien,m,5.81
algérienne,f,5.81
algériennes,f,5.81
algériens,m,5.81
alhambra,f,1.76
alibi,m,11.13
alibis,m,11.13
alidade,f,0.07
alignement,m,5.14
alignements,m,5.14
aligot,m,0.03
aligoté,m,0.20
alim,f,0.21
aliment,m,6.62
alimentation,f,5.64
alimentations,f,5.64
aliments,m,6.62
alinéa,m,0.75
alinéas,m,0.75
alise,f,0.07
alises,f,0.07
alisier,m,0.07
alitement,m,0.01
alizé,m,0.68
alizés,m,0.68
aliénation,f,1.49
aliéné,m,2.28
aliénée,f,2.28
aliénés,m,2.28
alkali,m,0.06
allaitement,m,0.29
allant,m,3.04
allegro,m,0.27
allemagne,f,0.27
allemand,m,91.55
allemande,f,91.55
allemandes,f,91.55
allemands,m,91.55
aller,m,17.78
aller-retour,m,2.43
allergie,f,5.00
allergies,f,5.00
allergologie,f,0.14
allergène,m,0.08
allergènes,m,0.08
allers,m,17.78
allers-retours,m,2.43
allez,f,17.78
alliage,m,1.07
alliages,m,1.07
alliance,f,24.73
alliances,f,24.73
allier,m,0.03
alligator,m,2.80
alligators,m,2.80
allitération,f,0.09
allitérations,f,0.09
allium,m,0.02
allié,m,55.34
alliée,f,55.34
alliées,f,55.34
alliés,m,55.34
allobarbital,m,0.07
alloc,f,0.59
allocation,f,3.16
allocations,f,3.16
allochtone,m,0.01
allocs,f,0.59
allocution,f,4.12
allocutions,f,4.12
allogreffe,f,0.01
allonge,f,0.54
allongement,m,0.68
allonges,f,0.54
allopathie,f,0.14
allumage,m,1.75
allume-cigare,m,0.19
allume-cigares,m,0.14
allume-feu,m,0.27
allume-gaz,m,0.20
allumette,f,20.88
allumettes,f,20.88
allumeur,m,1.49
allumeurs,m,1.49
allumeuse,f,1.49
allumeuses,f,1.49
allumoir,m,0.07
allumé,m,1.55
allumée,f,1.55
allumées,f,1.55
allumés,m,1.55
allure,f,65.88
allures,f,65.88
allusion,f,31.15
allusions,f,31.15
alluvion,f,0.95
alluvions,f,0.95
allègement,m,0.20
allèle,m,0.04
allée,f,62.36
allées,f,62.36
allégation,f,1.87
allégations,f,1.87
allégeance,f,1.64
allégeances,f,1.64
allégement,m,0.54
allégements,m,0.54
allégorie,f,2.16
allégories,f,2.16
allégresse,f,11.89
allégresses,f,11.89
alléluia,m,0.99
alléluias,m,0.99
alma,f,0.86
almanach,m,1.89
almanachs,m,1.89
almée,f,0.27
almées,f,0.27
aloi,m,1.89
alopécie,f,0.07
alose,f,0.47
aloses,f,0.47
alouette,f,4.32
alouettes,f,4.32
alourdissement,m,0.14
aloyau,m,0.27
aloès,m,1.15
alpaga,m,1.28
alpage,m,0.81
alpages,m,0.81
alpe,f,0.27
alpenstock,m,0.34
alpes,f,0.27
alpha,m,2.09
alphabet,m,4.73
alphabets,m,4.73
alphabétisation,f,0.30
alpinisme,m,0.67
alsacien,m,3.24
alsacienne,f,3.24
alsaciennes,f,3.24
alsaciens,m,3.24
alstonia,f,0.14
alter ego,m,0.54
altercation,f,1.49
altercations,f,1.49
alternance,f,3.78
alternances,f,3.78
alternateur,m,0.14
alternative,f,5.89
alternatives,f,5.89
altesse,f,12.93
altesses,f,12.93
althaea,f,0.01
altimètre,m,0.75
altimètres,m,0.75
altitude,f,6.96
altitudes,f,6.96
altruisme,m,0.74
altuglas,m,0.07
altération,f,1.49
altérations,f,1.49
altérité,f,0.20
alu,m,1.06
aludes,f,0.14
aluette,f,0.01
aluminium,m,4.32
alun,m,0.74
alunissage,m,0.52
alunissages,m,0.52
alvar,m,0.05
alvéole,m,3.18
alvéoles,m,3.18
alysse,m,0.27
alène,f,0.34
alèse,f,0.61
alèze,f,0.07
aléa,m,1.01
aléas,m,1.01
amabilité,f,5.34
amabilités,f,5.34
amadou,m,1.76
amaigrissement,m,0.54
amalgame,m,2.03
amalgames,m,2.03
aman,m,0.14
amande,f,8.18
amandes,f,8.18
amandier,m,2.23
amandiers,m,2.23
amandine,f,0.07
amandines,f,0.07
amanite,f,0.27
amanites,f,0.27
amant,m,69.59
amante,f,6.76
amantes,f,6.76
amants,m,69.59
amaro,m,2.02
amarrage,m,0.61
amarrages,m,0.61
amarre,f,4.66
amarres,f,4.66
amaryllis,f,1.22
amas,m,9.32
amateur,f,16.15
amateurisme,m,0.34
amateurs,f,16.15
amatrice,f,16.15
amaurose,f,0.07
amazone,f,2.23
amazones,f,2.23
ambages,f,0.88
ambassade,f,15.34
ambassades,f,15.34
ambassadeur,m,33.72
ambassadeurs,m,33.72
ambassadrice,f,33.72
ambassadrices,f,33.72
ambiance,f,12.37
ambiances,f,12.37
ambiguïté,f,3.04
ambiguïtés,f,3.04
ambitieuse,f,1.96
ambitieuses,f,0.20
ambitieux,m,1.96
ambition,f,30.34
ambitions,f,30.34
ambivalence,f,0.41
ambivalences,f,0.41
amble,m,0.47
ambon,m,0.07
ambre,m,4.39
ambroisie,f,0.51
ambulance,f,27.55
ambulances,f,27.55
ambulancier,m,1.69
ambulanciers,m,1.69
ambulancière,f,1.69
ambulancières,f,1.69
ambulant,m,0.47
ambulants,m,0.47
amen,m,3.26
amende,f,9.37
amendement,m,3.75
amendements,m,3.75
amendes,f,9.37
amenuisement,m,0.14
amenée,f,0.07
amer,m,1.35
amerrissage,m,0.16
amers,m,1.35
amertume,f,19.39
amertumes,f,19.39
ameublement,m,0.95
ameublements,m,0.95
amharique,m,0.27
ami,m,747.98
amiante,m,0.82
amibe,f,0.40
amibes,f,0.40
amicale,f,1.62
amicales,f,1.62
amicalités,f,0.07
amidon,m,0.74
amie,f,747.98
amies,f,747.98
amigo,m,6.91
amigos,m,6.91
amincissant,m,0.14
amincissants,m,0.14
amincissement,m,0.14
amine,f,0.01
aminoacides,m,0.02
aminophylline,f,0.01
amiral,m,13.51
amirauté,f,6.96
amirautés,f,6.96
amiraux,m,13.51
amis,m,747.98
amitié,f,77.77
amitiés,f,77.77
ammoniac,m,0.28
ammoniaque,f,0.40
ammonite,f,0.40
ammonitrate,m,0.14
ammonium,m,0.36
amniocentèse,f,0.38
amnios,m,0.04
amnistie,f,2.93
amnisties,f,2.93
amnistié,m,0.07
amnistiée,f,0.07
amnésie,f,3.74
amnésies,f,3.74
amoindrissement,m,0.07
amok,m,0.07
amollissement,m,0.14
amoncellement,m,6.08
amoncellements,m,6.08
amont,m,3.85
amontillado,m,0.29
amoralité,f,0.07
amorce,f,4.59
amorces,f,4.59
